batch_id,batch_order,review_row,review_action,url,domain,http_status,fetch_ok,final_url,final_domain,domain_changed,content_type,title,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,suggested_decision,evidence_notes,fetch_error,checked_at
p2-004,331,380,verify_directory_fit_before_any_approval,https://nasze-lasie-pl.sugester.pl/18132-o-stronie-wiadomosci-na-glownej-itp?order=popular,nasze-lasie-pl.sugester.pl,200,yes,https://nasze-lasie-pl.sugester.pl/?error=private_forum,nasze-lasie-pl.sugester.pl,no,text/html; charset=utf-8,nasze-lasie.pl,1,19,yes,no,no,no,no,yes,no,no,no,reject_auth_required,"CAPTCHA signal found; 1 form(s), 19 input/select/textarea fields; submit/add/list/publish button text signal found",,2026-05-22T08:38:18.281Z
p2-004,332,381,verify_directory_fit_before_any_approval,https://www.negociosyemprendimiento.org/2024/12/historia-temu.html?m=0,negociosyemprendimiento.org,200,yes,https://www.negociosyemprendimiento.org/2024/12/historia-temu.html?m=0,negociosyemprendimiento.org,no,text/html; charset=UTF-8,"La historia de Temu, la empresa china que hace temblar a Amazon",1,1,yes,no,yes,no,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; CAPTCHA signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:38:18.914Z
p2-004,333,383,verify_directory_fit_before_any_approval,https://www.netboard.hu/searchuser_full.php?id=139760,netboard.hu,200,yes,https://www.netboard.hu/searchuser_full.php?id=139760,netboard.hu,no,text/html,netboard.hu f�rum,17,44,yes,no,no,no,no,no,yes,no,no,reject_auth_required,"Cloudflare/human verification signal found; 17 form(s), 44 input/select/textarea fields; submit/add/list/publish button text signal found",,2026-05-22T08:38:20.336Z
p2-004,334,384,verify_directory_fit_before_any_approval,https://new-site.com/,new-site.com,200,yes,https://new-site.com/,new-site.com,no,text/html,,0,0,no,no,no,no,no,no,no,no,no,reject_not_submit,,,2026-05-22T08:38:22.637Z
p2-004,335,389,verify_directory_fit_before_any_approval,https://www.nintendoworldreport.com/forums/index.php?action=profile%3Bu%3D56540,nintendoworldreport.com,200,yes,https://www.nintendoworldreport.com/forums/index.php?action=profile%3Bu%3D56540,nintendoworldreport.com,no,text/html; charset=UTF-8,Nintendo World Report Forums - Index,3,14,yes,no,yes,yes,no,yes,no,no,no,reject_auth_required,"login/register signal found; CAPTCHA signal found; 3 form(s), 14 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:38:23.414Z
p2-004,336,396,verify_directory_fit_before_any_approval,https://nodejs.org/,nodejs.org,200,yes,https://nodejs.org/en,nodejs.org,no,text/html; charset=utf-8,Node.js — Run JavaScript Everywhere,0,1,no,no,yes,yes,no,yes,yes,no,no,reject_auth_required,login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found,,2026-05-22T08:38:25.661Z
p2-004,337,398,verify_directory_fit_before_any_approval,https://notsowimpyteacher.com/2024/01/5-reasons-why-teaching-grammar-is-still-important.html,notsowimpyteacher.com,200,yes,https://notsowimpyteacher.com/2024/01/5-reasons-why-teaching-grammar-is-still-important.html,notsowimpyteacher.com,no,text/html; charset=UTF-8,5 Reasons Why Teaching Grammar Is Still Important in 2025 - Not So Wimpy Teacher,4,18,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 18 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:38:28.732Z
p2-004,338,400,verify_directory_fit_before_any_approval,https://www.onesweetmess.com/2017/06/08/cherry-negroni,onesweetmess.com,200,yes,https://www.onesweetmess.com/2017/06/08/cherry-negroni,onesweetmess.com,no,text/html; charset=UTF-8,Cherry Negroni - One Sweet Mess,6,24,yes,no,yes,yes,no,yes,yes,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 6 form(s), 24 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:38:34.230Z
p2-004,339,404,verify_directory_fit_before_any_approval,https://openclaw.ai/,openclaw.ai,200,yes,https://openclaw.ai/,openclaw.ai,no,text/html; charset=utf-8,OpenClaw — Personal AI Assistant,1,2,yes,no,yes,no,yes,no,yes,yes,no,reject_paid,"payment/pricing signal found; OAuth signal found; Cloudflare/human verification signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:38:36.323Z
p2-004,340,408,verify_directory_fit_before_any_approval,https://www.paleorunningmomma.com/garlic-tuscan-shrimp-paleo-whole30,paleorunningmomma.com,403,no,https://www.paleorunningmomma.com/garlic-tuscan-shrimp-paleo-whole30,paleorunningmomma.com,no,text/html; charset=UTF-8,Just a moment...,0,0,no,no,no,no,no,yes,yes,no,no,review_fetch_failed,CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,HTTP 403,2026-05-22T08:38:36.920Z
p2-004,341,409,verify_directory_fit_before_any_approval,https://www.papertraildesign.com/football-water-bottle-labels-free-printable,papertraildesign.com,200,yes,https://www.papertraildesign.com/football-water-bottle-labels-free-printable/,papertraildesign.com,no,text/html; charset=UTF-8,Football Water Bottle Labels Free Printable - Paper Trail Design,3,16,yes,no,yes,no,no,yes,yes,no,no,reject_auth_required,"CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 16 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:38:40.213Z
p2-004,342,410,verify_directory_fit_before_any_approval,https://participacion.puertodelrosario.org/profiles/albaucb/groups,participacion.puertodelrosario.org,200,yes,https://participacion.puertodelrosario.org/profiles/albaucb/groups,participacion.puertodelrosario.org,no,text/html; charset=utf-8,Grupos - Participación Ciudadana - Ayuntamiento de Puerto del Rosario,4,10,yes,no,no,no,yes,yes,no,no,no,reject_auth_required,"OAuth signal found; CAPTCHA signal found; 4 form(s), 10 input/select/textarea fields; submit/add/list/publish button text signal found",,2026-05-22T08:38:43.520Z
p2-004,343,412,verify_directory_fit_before_any_approval,https://www.patisserie-okumoto.com/hpgen/HPB/entries/1.html?https%3A%2F%2Ffuhrerschein-eu.com%2F=,patisserie-okumoto.com,,no,,,unknown,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,This operation was aborted,This operation was aborted,2026-05-22T08:38:46.480Z
p2-004,344,417,verify_directory_fit_before_any_approval,https://www.peoplespunditdaily.com/news/us/2020/03/27/trump-pulls-trigger-on-defense-production-act-to-require-gm-to-make-ventilators,peoplespunditdaily.com,200,yes,https://www.peoplespunditdaily.com/news/us/2020/03/27/trump-pulls-trigger-on-defense-production-act-to-require-gm-to-make-ventilators/,peoplespunditdaily.com,no,text/html; charset=UTF-8,Trump Pulls Trigger on Defense Production Act to Require GM to Make Ventilators | People&#039;s Pundit Daily,3,19,yes,no,yes,yes,no,yes,yes,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 19 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:38:56.490Z
p2-004,345,418,verify_directory_fit_before_any_approval,https://pharmahub.org/kb/registration/login2,pharmahub.org,,no,,,unknown,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,This operation was aborted,This operation was aborted,2026-05-22T08:39:00.217Z
p2-004,346,419,verify_directory_fit_before_any_approval,https://www.pinkcaddytravelogue.com/7-day-iceland-itinerary,pinkcaddytravelogue.com,200,yes,https://www.pinkcaddytravelogue.com/7-day-iceland-itinerary/,pinkcaddytravelogue.com,no,text/html; charset=UTF-8,Breathtaking 7 Day Iceland Itinerary - Pink Caddy Travelogue,2,17,yes,no,no,no,no,yes,no,no,no,reject_auth_required,"CAPTCHA signal found; 2 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found",,2026-05-22T08:39:10.232Z
p2-004,347,422,verify_directory_fit_before_any_approval,https://pixel77.com/fonts-for-posters,pixel77.com,403,no,https://pixel77.com/fonts-for-posters,pixel77.com,no,text/html; charset=UTF-8,Just a moment...,0,0,no,no,no,no,no,yes,yes,no,no,review_fetch_failed,CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,HTTP 403,2026-05-22T08:39:15.346Z
p2-004,348,423,verify_directory_fit_before_any_approval,https://pixel77.com/typography-rules-technique,pixel77.com,403,no,https://pixel77.com/typography-rules-technique,pixel77.com,no,text/html; charset=UTF-8,Just a moment...,0,0,no,no,no,no,no,yes,yes,no,no,review_fetch_failed,CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,HTTP 403,2026-05-22T08:39:16.649Z
p2-004,349,425,verify_directory_fit_before_any_approval,https://poppyandgrace.com/2017/09/raleys-lilo-and-stitch-birthday-luau,poppyandgrace.com,200,yes,https://poppyandgrace.com/2017/09/raleys-lilo-and-stitch-birthday-luau/,poppyandgrace.com,no,text/html; charset=UTF-8,Raley&#039;s Lilo and Stitch Birthday Luau - Poppy + Grace,3,13,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 13 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:39:17.410Z
p2-004,350,430,verify_directory_fit_before_any_approval,https://www.predictiveanalyticsworld.com/machinelearningtimes/dont-let-yourself-be-fooled-by-data-drift/13125,predictiveanalyticsworld.com,200,yes,https://www.predictiveanalyticsworld.com/machinelearningtimes/dont-let-yourself-be-fooled-by-data-drift/13125/,predictiveanalyticsworld.com,no,text/html; charset=UTF-8,Don’t Let Yourself Be Fooled By Data Drift &laquo; Machine Learning Times,4,41,yes,no,yes,yes,no,yes,yes,no,no,reject_auth_required,"login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 4 form(s), 41 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:39:24.255Z
