batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls
p2-003,238,P2,26,183,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,chandigarhcity.com,unknown,unknown,missing_domain,needs_manual_review,https://www.chandigarhcity.com/discussions/threads/quordle-to-quorle,chandigarhcity.com,1,repo-external-links.csv,repo-external-links.csv:row 365:url,,
p2-003,239,P2,26,184,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,chayagrossberg.com,unknown,unknown,missing_domain,needs_manual_review,https://chayagrossberg.com/diagnosis-versus-you,chayagrossberg.com,1,repo-external-links.csv,repo-external-links.csv:row 122:url,,
p2-003,240,P2,26,185,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,chayagrossberg.com,unknown,unknown,missing_domain,needs_manual_review,https://chayagrossberg.com/how-do-you-know-if-youre-receiving-informed-consent,chayagrossberg.com,1,repo-external-links.csv,repo-external-links.csv:row 123:url,,
p2-003,241,P2,26,186,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,chhs.news.niu.edu,unknown,unknown,missing_domain,needs_manual_review,https://chhs.news.niu.edu/2025/01/15/niu-school-of-nursing-adds-hispanic-student-nurses-alianza-hsna-to-support-students,chhs.news.niu.edu,1,repo-external-links.csv,repo-external-links.csv:row 124:url,,
p2-003,242,P2,26,187,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,cinescopia.com,unknown,unknown,missing_domain,needs_manual_review,https://cinescopia.com/las-10-mejores-peliculas-de-casey-affleck/2024/08,cinescopia.com,1,repo-external-links.csv,repo-external-links.csv:row 125:url,,
p2-003,243,P2,26,189,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,claude.ai,unknown,unknown,missing_domain,needs_manual_review,https://claude.ai/code,claude.ai,1,repo-external-links.csv,repo-external-links.csv:row 126:url,,
p2-003,244,P2,26,190,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,claude.ai,unknown,unknown,missing_domain,needs_manual_review,https://claude.ai/code)%EF%BC%8C%E4%BD%A0%E4%B8%8D%E9%9C%80%E8%A6%81%E7%9C%8B%E4%BB%BB%E4%BD%95%E5%85%B6%E4%BB%96%E6%96%87%E6%A1%A3%E3%80%82Clone,claude.ai,1,repo-external-links.csv,repo-external-links.csv:row 127:url,,
p2-003,245,P2,26,194,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,community.ops.io,unknown,unknown,missing_domain,needs_manual_review,https://community.ops.io/albacube_d9724d5112893f8a,community.ops.io,1,repo-external-links.csv,repo-external-links.csv:row 128:url,,
p2-003,246,P2,26,195,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,completelydelicious.com,unknown,unknown,missing_domain,needs_manual_review,https://www.completelydelicious.com/tips/make-brownies-shiny-crackly-crust,completelydelicious.com,1,repo-external-links.csv,repo-external-links.csv:row 367:url,,
p2-003,247,P2,26,196,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,cornbeanspigskids.com,unknown,unknown,missing_domain,needs_manual_review,https://www.cornbeanspigskids.com/2024/08/back-to-school-my-kids-favorite.html,cornbeanspigskids.com,1,repo-external-links.csv,repo-external-links.csv:row 368:url,,
p2-003,248,P2,26,197,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,craftberrybush.com,unknown,unknown,missing_domain,needs_manual_review,https://www.craftberrybush.com/2017/08/watercolor-lessons-and-free-printable.html,craftberrybush.com,1,repo-external-links.csv,repo-external-links.csv:row 369:url,,
p2-003,249,P2,26,198,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,craftberrybush.com,unknown,unknown,missing_domain,needs_manual_review,https://www.craftberrybush.com/2025/01/heart-shaped-flower-arrangement-for-valentines-day.html,craftberrybush.com,1,repo-external-links.csv,repo-external-links.csv:row 370:url,,
p2-003,250,P2,26,207,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,demilked.com,unknown,unknown,missing_domain,needs_manual_review,https://www.demilked.com/just-a-girl,demilked.com,1,repo-external-links.csv,repo-external-links.csv:row 372:url,,
p2-003,251,P2,26,209,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,digitalwellbeing.org,unknown,unknown,missing_domain,needs_manual_review,https://digitalwellbeing.org/five-reasons-why-chatgpt-is-the-future-of-digital-mental-health-support,digitalwellbeing.org,1,repo-external-links.csv,repo-external-links.csv:row 140:url,,
p2-003,252,P2,26,211,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,dinnerwithjulie.com,unknown,unknown,missing_domain,needs_manual_review,https://www.dinnerwithjulie.com/2017/12/05/nigels-fruitcake,dinnerwithjulie.com,1,repo-external-links.csv,repo-external-links.csv:row 375:url,,
p2-003,253,P2,26,212,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,dinnerwithjulie.com,unknown,unknown,missing_domain,needs_manual_review,https://www.dinnerwithjulie.com/2019/12/23/kaiserschmarrn-torn-shredded-pancake,dinnerwithjulie.com,1,repo-external-links.csv,repo-external-links.csv:row 376:url,,
p2-003,254,P2,26,213,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,dinnerwithjulie.com,unknown,unknown,missing_domain,needs_manual_review,https://www.dinnerwithjulie.com/2021/11/03/plant-based-deep-n-delicious-chocolate-cake,dinnerwithjulie.com,1,repo-external-links.csv,repo-external-links.csv:row 377:url,,
p2-003,255,P2,26,214,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,dinnerwithjulie.com,unknown,unknown,missing_domain,needs_manual_review,https://www.dinnerwithjulie.com/recipes/butterscotch-pecan-mmmuffins,dinnerwithjulie.com,1,repo-external-links.csv,repo-external-links.csv:row 378:url,,
p2-003,256,P2,26,218,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,diythrill.com,unknown,unknown,missing_domain,needs_manual_review,https://diythrill.com/2018/09/23/orange-citrus-poo-pourri-recipe,diythrill.com,1,repo-external-links.csv,repo-external-links.csv:row 141:url,,
p2-003,257,P2,26,222,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,earthpeopletechnology.com,unknown,unknown,missing_domain,needs_manual_review,https://earthpeopletechnology.com/forums/profile/contractwarn,earthpeopletechnology.com,1,repo-external-links.csv,repo-external-links.csv:row 145:url,,
p2-003,258,P2,26,225,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,eilentein.com,unknown,unknown,missing_domain,needs_manual_review,http://www.eilentein.com/2019/02/ryijy-ja-kuinka-sen-tein.html,eilentein.com,1,repo-external-links.csv,repo-external-links.csv:row 16:url,,
p2-003,259,P2,26,232,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,everythingboardgames.com,unknown,unknown,missing_domain,needs_manual_review,https://everythingboardgames.com/2024/11/exploring-the-world-of-online-board-games.html,everythingboardgames.com,1,repo-external-links.csv,repo-external-links.csv:row 147:url,,
p2-003,260,P2,26,233,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,everythingetsy.com,unknown,unknown,missing_domain,needs_manual_review,https://www.everythingetsy.com/2013/02/10-social-media-tips-to-make-you-a-rock-star,everythingetsy.com,1,repo-external-links.csv,repo-external-links.csv:row 383:url,,
p2-003,261,P2,26,234,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,example-blog.com,unknown,unknown,missing_domain,needs_manual_review,https://example-blog.com/useful-article,example-blog.com,1,repo-external-links.csv,repo-external-links.csv:row 148:url,,
p2-003,262,P2,26,237,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,exsloth.com,unknown,unknown,missing_domain,needs_manual_review,https://exsloth.com/vegan-breakfast-cookies,exsloth.com,1,repo-external-links.csv,repo-external-links.csv:row 152:url,,
p2-003,263,P2,26,241,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,fallfordiy.com,unknown,unknown,missing_domain,needs_manual_review,https://fallfordiy.com/blog/2015/11/18/diy-paint-dipped-advent-calendar-bottles,fallfordiy.com,1,repo-external-links.csv,repo-external-links.csv:row 153:url,,
p2-003,264,P2,26,242,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,fashionablefoods.com,unknown,unknown,missing_domain,needs_manual_review,https://fashionablefoods.com/2014/10/20/roasted-butternut-squash-and-apple-soup,fashionablefoods.com,1,repo-external-links.csv,repo-external-links.csv:row 154:url,,
p2-003,265,P2,26,243,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,fashionablefoods.com,unknown,unknown,missing_domain,needs_manual_review,https://fashionablefoods.com/2014/11/10/2014119turkey-roulade,fashionablefoods.com,1,repo-external-links.csv,repo-external-links.csv:row 155:url,,
p2-003,266,P2,26,244,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,fashionablefoods.com,unknown,unknown,missing_domain,needs_manual_review,https://fashionablefoods.com/2014/12/01/2014121make-ahead-monday-shepherds-pie,fashionablefoods.com,1,repo-external-links.csv,repo-external-links.csv:row 156:url,,
p2-003,267,P2,26,245,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,fashionablefoods.com,unknown,unknown,missing_domain,needs_manual_review,https://fashionablefoods.com/2014/12/28/creamy-ham-and-pea-pasta,fashionablefoods.com,1,repo-external-links.csv,repo-external-links.csv:row 157:url,,
